record_id,key,entry_type,year,title,author,booktitle,journal,publisher,doi,url,eprint,archiveprefix,note,cited_in_main,citation_count,first_cited_line
INC-032,Ahlgren2012ICNSurvey,article,2012,{A Survey of Information-Centric Networking},"Ahlgren, Bengt and Dannewitz, Christian and Imbrenda, Claudio and Kutscher, Dirk and Ohlman, B{\""o}rje",,IEEE Communications Magazine,,10.1109/MCOM.2012.6231276,,,,,yes,6,117
INC-033,Xylomenos2014ICNSurvey,article,2014,{A Survey of Information-Centric Networking Research},"Xylomenos, George and Ververidis, Christopher N. and Siris, Vasilios A. and Fotiou, Nikos and Tsilopoulos, Christos and Vasilakos, Xenofon and Katsaros, Konstantinos V. and Polyzos, George C.",,IEEE Communications Surveys \& Tutorials,,10.1109/SURV.2013.070813.00063,,,,,yes,6,117
INC-034,Jacobson2009NamedContent,inproceedings,2009,{Networking Named Content},"Jacobson, Van and Smetters, Diana K. and Thornton, James D. and Plass, Michael F. and Briggs, Nicholas H. and Braynard, Rebecca L.",Proceedings of the 5th International Conference on Emerging Networking Experiments and Technologies,,ACM,10.1145/1658939.1658941,,,,,yes,5,117
INC-035,Zhang2014NamedDataNetworking,article,2014,{Named Data Networking},"Zhang, Lixia and Afanasyev, Alexander and Burke, Jeffrey and Jacobson, Van and Claffy, K. C. and Crowley, Patrick and Papadopoulos, Christos and Wang, Lan and Zhang, Beichuan",,ACM SIGCOMM Computer Communication Review,,10.1145/2656877.2656887,,,,,yes,5,117
INC-036,Thompson2025CDNDelegation,misc,2025,Fine-Grained {CDN} Delegation,Ethan Thompson and Ali Sadeghi Jahromi and AbdelRahman Abdou,,,,,https://arxiv.org/abs/2510.09983,2510.09983,arXiv,Needs verification for final publication status,yes,4,434
INC-037,Dilley2002Globally,article,2002,Globally Distributed Content Delivery,"Dilley, John and Maggs, Bruce and Parikh, Jay and Prokop, Harald and Sitaraman, Ramesh and Weihl, Bill",,IEEE Internet Computing,,10.1109/MIC.2002.1036038,,,,,yes,3,113
INC-038,ichikawa2005,article,2005,{A Proposal of Request Routing on a Fully Distributed {P2P} {CDN}},"ICHIKAWA, Y.",,IEICE Transactions on Communications,,10.1093/ietcom/e88-b.6.2473,,,,,yes,1,289
INC-039,choy2014hybrid,article,2014,{A hybrid edge-cloud architecture for reducing on-demand gaming latency},"Choy, Sharon and Wong, Bernard and Simon, Gwendal and Rosenberg, Catherine",,Multimedia Systems,,10.1007/s00530-014-0367-z,,,,,yes,1,289
INC-040,herbaut2017,article,2017,{A Model for Collaborative Blockchain-Based Video Delivery Relying on Advanced Network Services Chains},"Herbaut, Nicolas and Negru, Daniel",,IEEE Commun. Mag.,,10.1109/mcom.2017.1700117,,,,,yes,11,115
INC-041,zolfaghari2020content,article,2020,{Content Delivery Networks},"Zolfaghari, Behrouz and Srivastava, Gautam and Roy, Swapnoneel and Nemati, Hamid R. and Afghah, Fatemeh and Koshiba, Takeshi and Razi, Abolfazl and Bibak, Khodakhast and Mitra, Pinaki and Rai, Brijesh Kumar",,ACM Comput. Surv.,,10.1145/3380613,,,,,yes,3,184
INC-042,salahuddin2018survey,article,2018,{A Survey on Content Placement Algorithms for Cloud-Based Content Delivery Networks},"Salahuddin, Mohammad A. and Sahoo, Jagruti and Glitho, Roch and Elbiaze, Halima and Ajib, Wessam",,IEEE Access,,10.1109/access.2017.2754419,,,,,yes,2,184
INC-043,choi2011survey,article,2011,{A Survey on content-oriented networking for efficient content delivery},"Choi, Jaeyoung and Han, Jinyoung and Cho, Eunsang and Kwon, Ted and Choi, Yanghee",,IEEE Commun. Mag.,,10.1109/mcom.2011.5723809,,,,,yes,3,184
INC-044,anjum2017survey,article,2017,{Survey on peer-assisted content delivery networks},"Anjum, Nasreen and Karamshuk, Dmytro and Shikh-Bahaei, Mohammad and Sastry, Nishanth",,Computer Networks,,10.1016/j.comnet.2017.02.008,,,,,yes,4,184
INC-045,Ali2025_survey,article,2025,{A survey on the state-of-the-art {CDN} architectures and future directions},"Ali, Waris and Fang, Chao and Khan, Akmal",,Journal of Network and Computer Applications,,10.1016/j.jnca.2025.104106,,,,,yes,7,184
INC-046,passarella2012survey,article,2012,{A survey on content-centric technologies for the current Internet: {CDN} and {P2P} solutions},"Passarella, Andrea",,Computer Communications,,10.1016/j.comcom.2011.10.005,,,,,yes,3,184
